#EXPORTTYPE:DATA ALL
#FILE:75wt05hr.ngb-ds3
#FORMAT:NETZSCH5
#FTYPE:ANSI
#IDENTITY:75wt05hr
#DECIMAL:POINT
#SEPARATOR:SEMICOLON
#MTYPE:DSC
#INSTRUMENT:NETZSCH STA 449F3
#PROJECT:copyrolysis
#DATE/TIME:17.03.2021 21:05
#CORR. FILE:correction 5kmin.ngb-bs3
#TEMPCAL:2021 CAL T 5KMIN .ngb-ts3
#SENSITIVITY:2021 CAL s 5KMIN REVISAR.ngb-ts3.ngb-es3
#LABORATORY:UNA - FCQ - AI
#OPERATOR:AD
#REMARK:
#SAMPLE:75wt05hr
#SAMPLE MASS /mg:10.9100
#MATERIAL:EMPTY
#REFERENCE:Empty
#REFERENCE MASS /mg:0
#TYPE OF CRUCIBLE:DSC/TG pan Al2O3
#SAMPLE CRUCIBLE MASS /mg:140.2020
#REFERENCE CRUCIBLE MASS /mg:140.87
#DSC RANGE /µV:5000
#TG RANGE /mg:35000
#TAU-R:---
#CORR. CODE:020
#EXO:-1
#RANGE:25°C/00:00/25°C/5,0(K/min)/800°C/
#SEGMENT:S1-2/2
#SEG. 1:25°C/00:30/25°C
#SEG. 2:25°C/5,0(K/min)/800°C

##Temp./°C;Time/min;DSC/(mW/mg);Mass/%;Gas Flow(purge2)/(ml/min);Gas Flow(protective)/(ml/min);Sensit./(uV/mW);Segment
 24.58800;  0.00000;       0.16875;100.00000;80.00000;20.00000;0.92285;1
 24.61200;  0.05000;       0.17209; 99.97984;80.00000;20.00000;0.92284;1
 24.64200;  0.10000;       0.17748; 99.94684;80.00000;20.00000;0.92281;1
 24.67500;  0.15000;       0.18127; 99.92851;80.00000;20.00000;0.92279;1
 24.70100;  0.20000;       0.18362; 99.90742;80.00000;20.00000;0.92277;1
 24.73700;  0.25000;       0.18704; 99.88726;80.00000;20.00000;0.92275;1
 24.76100;  0.30000;       0.18962; 99.86434;80.00000;20.00000;0.92273;1
 24.78200;  0.35000;       0.19205; 99.83410;80.00000;20.00000;0.92271;1
 24.79600;  0.40000;       0.19402; 99.80477;80.00000;20.00000;0.92270;1
 24.83900;  0.45000;       0.19539; 99.77910;80.00000;20.00000;0.92267;1
 24.86100;  0.50000;       0.19706; 99.75344;80.00000;20.00000;0.92266;1
 24.88800;  0.55000;       0.19760; 99.73877;80.00000;20.00000;0.92264;1
 24.90500;  0.60000;       0.19828; 99.71769;80.00000;20.00000;0.92262;1
 24.91600;  0.65000;       0.19783; 99.69111;80.00000;20.00000;0.92261;1
 24.94200;  0.70000;       0.19745; 99.65903;80.00000;20.00000;0.92260;1
 24.94700;  0.75000;       0.19669; 99.64070;80.00000;20.00000;0.92259;1
 24.97300;  0.80000;       0.19624; 99.61870;80.00000;20.00000;0.92257;1
 24.99300;  0.85000;       0.19556; 99.59395;80.00000;20.00000;0.92256;1
 25.00000;  0.90000;       0.19504; 99.57104;80.00000;20.00000;0.92255;1
 25.02700;  0.95000;       0.19375; 99.54262;80.00000;20.00000;0.92253;1
 25.05400;  1.00000;       0.19254; 99.51604;80.00000;20.00000;0.92251;1
 25.06600;  1.05000;       0.19118; 99.49679;80.00000;20.00000;0.92251;1
 25.05700;  1.10000;       0.18951; 99.46746;80.00000;20.00000;0.92251;1
 25.10000;  1.15000;       0.18808; 99.44455;80.00000;20.00000;0.92248;1
 25.11400;  1.20000;       0.18664; 99.41338;80.00000;20.00000;0.92247;1
 25.12400;  1.25000;       0.18535; 99.40605;80.00000;20.00000;0.92246;1
 25.13600;  1.30000;       0.18338; 99.37947;80.00000;20.00000;0.92245;1
 25.14700;  1.35000;       0.18240; 99.35747;80.00000;20.00000;0.92245;1
 25.16300;  1.40000;       0.18066; 99.32631;80.00000;20.00000;0.92244;1
 25.16300;  1.45000;       0.17891; 99.31164;80.00000;20.00000;0.92244;1
 25.16200;  1.50000;       0.17770; 99.28964;80.00000;20.00000;0.92244;1
 25.17600;  1.55000;       0.17535; 99.26489;80.00000;20.00000;0.92243;1
 25.18000;  1.60000;       0.17399; 99.24840;80.00000;20.00000;0.92242;1
 25.20400;  1.65000;       0.17255; 99.23281;80.00000;20.00000;0.92241;1
 25.22200;  1.70000;       0.17051; 99.21265;80.00000;20.00000;0.92239;1
 25.21600;  1.75000;       0.16861; 99.19523;80.00000;20.00000;0.92240;1
 25.23000;  1.80000;       0.16755; 99.16682;80.00000;20.00000;0.92239;1
 25.24200;  1.85000;       0.16528; 99.15124;80.00000;20.00000;0.92238;1
 25.24000;  1.90000;       0.16368; 99.12374;80.00000;20.00000;0.92238;1
 25.25400;  1.95000;       0.16240; 99.09624;80.00000;20.00000;0.92237;1
 25.26500;  2.00000;       0.16081; 99.08708;80.00000;20.00000;0.92236;1
 25.25500;  2.05000;       0.15944; 99.07241;80.00000;20.00000;0.92237;1
 25.27300;  2.10000;       0.15815; 99.05408;80.00000;20.00000;0.92236;1
 25.27300;  2.15000;       0.15611; 99.02658;80.00000;20.00000;0.92236;1
 25.28200;  2.20000;       0.15429; 99.01925;80.00000;20.00000;0.92235;1
 25.30300;  2.25000;       0.15300; 99.00458;80.00000;20.00000;0.92233;1
 25.30800;  2.30000;       0.15179; 98.99175;80.00000;20.00000;0.92233;1
 25.31400;  2.35000;       0.14974; 98.96425;80.00000;20.00000;0.92233;1
 25.31100;  2.40000;       0.14861; 98.95142;80.00000;20.00000;0.92233;1
 25.30800;  2.45000;       0.14724; 98.93401;80.00000;20.00000;0.92233;1
 25.32300;  2.50000;       0.14557; 98.91567;80.00000;20.00000;0.92232;1
 25.32300;  2.55000;       0.14466; 98.89734;80.00000;20.00000;0.92232;1
 25.33800;  2.60000;       0.14262; 98.87259;80.00000;20.00000;0.92231;1
 25.33500;  2.65000;       0.14133; 98.85610;80.00000;20.00000;0.92231;1
 25.32700;  2.70000;       0.14012; 98.83868;80.00000;20.00000;0.92232;1
 25.33200;  2.75000;       0.13845; 98.82035;80.00000;20.00000;0.92231;1
 25.33600;  2.80000;       0.13792; 98.80752;80.00000;20.00000;0.92231;1
 25.35000;  2.85000;       0.13625; 98.78735;80.00000;20.00000;0.92230;1
 25.35900;  2.90000;       0.13603; 98.78277;80.00000;20.00000;0.92229;1
 25.34400;  2.95000;       0.13375; 98.76444;80.00000;20.00000;0.92230;1
 25.33800;  3.00000;       0.13254; 98.75069;80.00000;20.00000;0.92231;1
 25.35000;  3.05000;       0.13117; 98.72594;80.00000;20.00000;0.92230;1
 25.34100;  3.10000;       0.13018; 98.71769;80.00000;20.00000;0.92231;1
 25.35100;  3.15000;       0.12897; 98.69661;80.00000;20.00000;0.92230;1
 25.33500;  3.20000;       0.12685; 98.68286;80.00000;20.00000;0.92231;1
 25.34800;  3.25000;       0.12662; 98.66361;80.00000;20.00000;0.92230;1
