#EXPORTTYPE:DATA ALL
#FILE:75wt15hr.ngb-ds3
#FORMAT:NETZSCH5
#FTYPE:ANSI
#IDENTITY:75wt15hr
#DECIMAL:POINT
#SEPARATOR:SEMICOLON
#MTYPE:DSC
#INSTRUMENT:NETZSCH STA 449F3
#PROJECT:copyrolysis
#DATE/TIME:18.03.2021 04:18
#CORR. FILE:correction 15kmin.ngb-bs3
#TEMPCAL:2021 CAL T 15KMIN .ngb-ts3
#SENSITIVITY:2021 CAL s 15KMIN REVISAR.ngb-ts3.ngb-es3
#LABORATORY:UNA - FCQ - AI
#OPERATOR:AD
#REMARK:
#SAMPLE:75wt15hr
#SAMPLE MASS /mg:10.1680
#MATERIAL:EMPTY
#REFERENCE:Empty
#REFERENCE MASS /mg:0
#TYPE OF CRUCIBLE:DSC/TG pan Al2O3
#SAMPLE CRUCIBLE MASS /mg:140.7485
#REFERENCE CRUCIBLE MASS /mg:140.87
#DSC RANGE /µV:5000
#TG RANGE /mg:35000
#TAU-R:---
#CORR. CODE:020
#EXO:-1
#RANGE:25°C/00:00/25°C/15,0(K/min)/800°C/
#SEGMENT:S1-2/2
#SEG. 1:25°C/00:30/25°C
#SEG. 2:25°C/15,0(K/min)/800°C

##Temp./°C;Time/min;DSC/(mW/mg);Mass/%;Gas Flow(purge2)/(ml/min);Gas Flow(protective)/(ml/min);Sensit./(uV/mW);Segment
 24.96500; 0.00000;       0.20439;100.00000;80.00000;20.00000;0.83481;1
 24.97900; 0.05000;       0.20933; 99.96263;80.00000;20.00000;0.83480;1
 25.00500; 0.10000;       0.21419; 99.93706;80.00000;20.00000;0.83479;1
 25.03700; 0.15000;       0.21986; 99.90264;80.00000;20.00000;0.83478;1
 25.03400; 0.20000;       0.22489; 99.85838;80.00000;20.00000;0.83478;1
 25.05900; 0.25000;       0.22786; 99.83969;80.00000;20.00000;0.83477;1
 25.08000; 0.30000;       0.23172; 99.80527;80.00000;20.00000;0.83477;1
 25.09500; 0.35000;       0.23568; 99.77380;80.00000;20.00000;0.83476;1
 25.11100; 0.40000;       0.23766; 99.74430;80.00000;20.00000;0.83476;1
 25.13200; 0.45000;       0.23928; 99.73053;80.00000;20.00000;0.83475;1
 25.16300; 0.50000;       0.24081; 99.69807;80.00000;20.00000;0.83474;1
 25.16100; 0.55000;       0.24207; 99.66365;80.00000;20.00000;0.83474;1
 25.17000; 0.60000;       0.24243; 99.63021;80.00000;20.00000;0.83474;1
 25.18500; 0.65000;       0.24216; 99.59579;80.00000;20.00000;0.83473;1
 25.21100; 0.70000;       0.24172; 99.57612;80.00000;20.00000;0.83472;1
 25.21900; 0.75000;       0.24055; 99.55055;80.00000;20.00000;0.83472;1
 25.23200; 0.80000;       0.23956; 99.52596;80.00000;20.00000;0.83471;1
