#EXPORTTYPE:DATA ALL
#FILE:0wt15hr.ngb-ds3
#FORMAT:NETZSCH5
#FTYPE:ANSI
#IDENTITY:0wt15hr
#DECIMAL:POINT
#SEPARATOR:SEMICOLON
#MTYPE:DSC
#INSTRUMENT:NETZSCH STA 449F3
#PROJECT:copyrolysis
#DATE/TIME:18.03.2021 16:53
#CORR. FILE:correction 15kmin.ngb-bs3
#TEMPCAL:2021 CAL T 15KMIN .ngb-ts3
#SENSITIVITY:2021 CAL s 15KMIN REVISAR.ngb-ts3.ngb-es3
#LABORATORY:UNA - FCQ - AI
#OPERATOR:AD
#REMARK:
#SAMPLE:0wt15hr
#SAMPLE MASS /mg:10.5555
#MATERIAL:EMPTY
#REFERENCE:Empty
#REFERENCE MASS /mg:0
#TYPE OF CRUCIBLE:DSC/TG pan Al2O3
#SAMPLE CRUCIBLE MASS /mg:138.7380
#REFERENCE CRUCIBLE MASS /mg:140.87
#DSC RANGE /µV:5000
#TG RANGE /mg:35000
#TAU-R:---
#CORR. CODE:020
#EXO:-1
#RANGE:25°C/15,0(K/min)/800°C
#SEGMENT:S2/2
#SEG. 2:25°C/15,0(K/min)/800°C

##Temp./°C;Time/min;DSC/(mW/mg);Mass/%;Gas Flow(purge2)/(ml/min);Gas Flow(protective)/(ml/min);Sensit./(uV/mW)
 25.00100;30.00417; 2.917846e-002;93.68576;80.00000;20.00000;0.83479
 24.99200;30.01083; 2.917846e-002;93.68576;80.00000;20.00000;0.83479
 24.99500;30.01750; 2.917846e-002;93.68576;80.00000;20.00000;0.83479
 25.01300;30.02417; 2.891885e-002;93.68576;80.00000;20.00000;0.83479
 25.00800;30.03083; 2.891885e-002;93.68576;80.00000;20.00000;0.83479
 25.01000;30.03750; 2.891885e-002;93.68576;80.00000;20.00000;0.83479
 25.01000;30.04417; 2.891885e-002;93.68576;80.00000;20.00000;0.83479
 25.01300;30.05083; 2.891885e-002;93.68576;80.00000;20.00000;0.83479
 25.00400;30.05750; 2.909180e-002;93.68576;80.00000;20.00000;0.83480
 24.99600;30.06417; 2.917846e-002;93.68576;80.00000;20.00000;0.83479
 25.00600;30.07083; 2.891885e-002;93.68576;80.00000;20.00000;0.83479
 25.01600;30.07750; 2.848597e-002;93.68481;80.00000;20.00000;0.83479
 25.00500;30.08417; 2.891885e-002;93.68576;80.00000;20.00000;0.83479
 25.01900;30.09083; 2.822625e-002;93.68291;80.00000;20.00000;0.83479
 25.00800;30.09750; 2.891885e-002;93.68576;80.00000;20.00000;0.83479
 25.00500;30.10417; 2.891885e-002;93.68576;80.00000;20.00000;0.83479
 25.01400;30.11083; 2.848597e-002;93.68481;80.00000;20.00000;0.83479
 25.03000;30.11750; 2.848613e-002;93.67155;80.00000;20.00000;0.83478
 25.00200;30.12417; 2.909180e-002;93.68576;80.00000;20.00000;0.83480
 25.00200;30.13083; 2.909180e-002;93.68576;80.00000;20.00000;0.83480
 25.01000;30.13750; 2.891885e-002;93.68576;80.00000;20.00000;0.83479
 25.01300;30.14417; 2.891885e-002;93.68576;80.00000;20.00000;0.83479
 25.01400;30.15083; 2.848597e-002;93.68481;80.00000;20.00000;0.83479
 25.01000;30.15750; 2.891885e-002;93.68576;80.00000;20.00000;0.83479
 25.00400;30.16417; 2.909180e-002;93.68576;80.00000;20.00000;0.83480
 25.01300;30.17083; 2.891885e-002;93.68576;80.00000;20.00000;0.83479
 25.01400;30.17750; 2.848597e-002;93.68481;80.00000;20.00000;0.83479
 25.00000;30.18417; 2.917846e-002;93.68576;80.00000;20.00000;0.83479
 25.01000;30.19083; 2.891885e-002;93.68576;80.00000;20.00000;0.83479
 25.01000;30.19750; 2.891885e-002;93.68576;80.00000;20.00000;0.83479
 25.01700;30.20417; 2.822625e-002;93.68291;80.00000;20.00000;0.83479
 25.02000;30.21083; 2.839936e-002;93.67628;80.00000;20.00000;0.83479
 25.02000;30.21750; 2.839936e-002;93.67628;80.00000;20.00000;0.83479
 25.00800;30.22417; 2.891885e-002;93.68576;80.00000;20.00000;0.83479
 24.99600;30.23083; 2.917846e-002;93.68576;80.00000;20.00000;0.83479
