#EXPORTTYPE:DATA ALL
#FILE:50wt20hr.ngb-ds3
#FORMAT:NETZSCH5
#FTYPE:ANSI
#IDENTITY:50wt20hr
#DECIMAL:POINT
#SEPARATOR:SEMICOLON
#MTYPE:DSC
#INSTRUMENT:NETZSCH STA 449F3
#PROJECT:copyrolysis
#DATE/TIME:17.03.2021 18:46
#CORR. FILE:correction 20kmin.ngb-bs3
#TEMPCAL:2021 CAL T 20KMIN .ngb-ts3
#SENSITIVITY:2021 CAL s 20KMIN REVISAR.ngb-ts3.ngb-es3
#LABORATORY:UNA - FCQ - AI
#OPERATOR:AD
#REMARK:
#SAMPLE:50wt20hr
#SAMPLE MASS /mg:10.3153
#MATERIAL:EMPTY
#REFERENCE:Empty
#REFERENCE MASS /mg:0
#TYPE OF CRUCIBLE:DSC/TG pan Al2O3
#SAMPLE CRUCIBLE MASS /mg:138.6531
#REFERENCE CRUCIBLE MASS /mg:140.87
#DSC RANGE /µV:5000
#TG RANGE /mg:35000
#TAU-R:---
#CORR. CODE:020
#EXO:-1
#RANGE:25°C/00:00/25°C/20,0(K/min)/800°C/
#SEGMENT:S1-2/2
#SEG. 1:25°C/00:30/25°C
#SEG. 2:25°C/20,0(K/min)/800°C

##Temp./°C;Time/min;DSC/(mW/mg);Mass/%;Gas Flow(purge2)/(ml/min);Gas Flow(protective)/(ml/min);Sensit./(uV/mW);Segment
 24.74000; 0.00000;       0.24161;100.00000;80.00000;20.00000;0.80450;1
 24.76100; 0.05000;       0.24795; 99.96510;80.00000;20.00000;0.80450;1
 24.79100; 0.10000;       0.25255; 99.92438;80.00000;20.00000;0.80449;1
 24.81600; 0.15000;       0.25641; 99.90500;80.00000;20.00000;0.80448;1
 24.84500; 0.20000;       0.26074; 99.87688;80.00000;20.00000;0.80448;1
 24.86800; 0.25000;       0.26543; 99.84586;80.00000;20.00000;0.80447;1
 24.88500; 0.30000;       0.26874; 99.80514;80.00000;20.00000;0.80447;1
 24.91100; 0.35000;       0.27140; 99.78479;80.00000;20.00000;0.80447;1
 24.92500; 0.40000;       0.27389; 99.75861;80.00000;20.00000;0.80446;1
 24.93900; 0.45000;       0.27573; 99.72759;80.00000;20.00000;0.80446;1
 24.95400; 0.50000;       0.27619; 99.69269;80.00000;20.00000;0.80446;1
 24.97800; 0.55000;       0.27683; 99.66070;80.00000;20.00000;0.80445;1
 25.00400; 0.60000;       0.27638; 99.62095;80.00000;20.00000;0.80445;1
 25.03200; 0.65000;       0.27647; 99.58508;80.00000;20.00000;0.80444;1
 25.06100; 0.70000;       0.27601; 99.54727;80.00000;20.00000;0.80444;1
 25.07100; 0.75000;       0.27629; 99.51625;80.00000;20.00000;0.80444;1
 25.08200; 0.80000;       0.27500; 99.47554;80.00000;20.00000;0.80443;1
 25.09800; 0.85000;       0.27335; 99.45615;80.00000;20.00000;0.80443;1
 25.11300; 0.90000;       0.27261; 99.42319;80.00000;20.00000;0.80443;1
 25.12900; 0.95000;       0.27059; 99.38926;80.00000;20.00000;0.80443;1
 25.14200; 1.00000;       0.26930; 99.35727;80.00000;20.00000;0.80442;1
 25.16000; 1.05000;       0.26737; 99.32334;80.00000;20.00000;0.80442;1
 25.17100; 1.10000;       0.26544; 99.29134;80.00000;20.00000;0.80442;1
 25.17600; 1.15000;       0.26425; 99.26129;80.00000;20.00000;0.80442;1
 25.19000; 1.20000;       0.26186; 99.23221;80.00000;20.00000;0.80441;1
 25.19800; 1.25000;       0.25956; 99.20894;80.00000;20.00000;0.80441;1
 25.21800; 1.30000;       0.25754; 99.18858;80.00000;20.00000;0.80441;1
 25.23700; 1.35000;       0.25543; 99.15950;80.00000;20.00000;0.80440;1
 25.25100; 1.40000;       0.25350; 99.12848;80.00000;20.00000;0.80440;1
 25.24800; 1.45000;       0.25157; 99.09649;80.00000;20.00000;0.80440;1
 25.26500; 1.50000;       0.24954; 99.08001;80.00000;20.00000;0.80440;1
 25.27400; 1.55000;       0.24780; 99.05480;80.00000;20.00000;0.80440;1
 25.27200; 1.60000;       0.24495; 99.02281;80.00000;20.00000;0.80440;1
 25.27300; 1.65000;       0.24274; 98.98791;80.00000;20.00000;0.80440;1
 25.29200; 1.70000;       0.24090; 98.95689;80.00000;20.00000;0.80439;1
 25.28100; 1.75000;       0.23925; 98.92587;80.00000;20.00000;0.80440;1
 25.31000; 1.80000;       0.23704; 98.89678;80.00000;20.00000;0.80439;1
 25.31600; 1.85000;       0.23447; 98.86867;80.00000;20.00000;0.80439;1
 25.31600; 1.90000;       0.23254; 98.84250;80.00000;20.00000;0.80439;1
 25.32800; 1.95000;       0.23051; 98.81341;80.00000;20.00000;0.80439;1
 25.32300; 2.00000;       0.22840; 98.78336;80.00000;20.00000;0.80439;1
 25.33200; 2.05000;       0.22748; 98.76882;80.00000;20.00000;0.80439;1
 25.33900; 2.10000;       0.22518; 98.75137;80.00000;20.00000;0.80439;1
 25.34900; 2.15000;       0.22325; 98.72519;80.00000;20.00000;0.80438;1
 25.34600; 2.20000;       0.22077; 98.69999;80.00000;20.00000;0.80438;1
 25.35000; 2.25000;       0.21884; 98.67963;80.00000;20.00000;0.80438;1
 25.35600; 2.30000;       0.21663; 98.66509;80.00000;20.00000;0.80438;1
 25.35900; 2.35000;       0.21553; 98.63601;80.00000;20.00000;0.80438;1
 25.36800; 2.40000;       0.21341; 98.61080;80.00000;20.00000;0.80438;1
 25.36500; 2.45000;       0.21157; 98.57881;80.00000;20.00000;0.80438;1
 25.36800; 2.50000;       0.20891; 98.55651;80.00000;20.00000;0.80438;1
 25.36800; 2.55000;       0.20790; 98.54197;80.00000;20.00000;0.80438;1
 25.37000; 2.60000;       0.20661; 98.51871;80.00000;20.00000;0.80438;1
 25.37900; 2.65000;       0.20541; 98.50029;80.00000;20.00000;0.80438;1
 25.36200; 2.70000;       0.20339; 98.48478;80.00000;20.00000;0.80438;1
 25.36300; 2.75000;       0.20082; 98.45957;80.00000;20.00000;0.80438;1
 25.38000; 2.80000;       0.19944; 98.43243;80.00000;20.00000;0.80438;1
 25.38300; 2.85000;       0.19806; 98.41013;80.00000;20.00000;0.80438;1
 25.38600; 2.90000;       0.19640; 98.37814;80.00000;20.00000;0.80438;1
 25.39000; 2.95000;       0.19429; 98.36844;80.00000;20.00000;0.80438;1
 25.36800; 3.00000;       0.19190; 98.34421;80.00000;20.00000;0.80438;1
 25.38000; 3.05000;       0.19089; 98.32773;80.00000;20.00000;0.80438;1
 25.37700; 3.10000;       0.19043; 98.30446;80.00000;20.00000;0.80438;1
 25.38100; 3.15000;       0.18730; 98.28604;80.00000;20.00000;0.80438;1
 25.36600; 3.20000;       0.18638; 98.25599;80.00000;20.00000;0.80438;1
 25.38600; 3.25000;       0.18417; 98.23854;80.00000;20.00000;0.80438;1
 25.38900; 3.30000;       0.18353; 98.21624;80.00000;20.00000;0.80438;1
 25.37800; 3.35000;       0.18123; 98.20267;80.00000;20.00000;0.80438;1
 25.38100; 3.40000;       0.17994; 98.17262;80.00000;20.00000;0.80438;1
 25.38600; 3.45000;       0.17857; 98.15905;80.00000;20.00000;0.80438;1
 25.38900; 3.50000;       0.17709; 98.13481;80.00000;20.00000;0.80438;1
 25.35600; 3.55000;       0.17590; 98.11833;80.00000;20.00000;0.80438;1
 25.36700; 3.60000;       0.17369; 98.08925;80.00000;20.00000;0.80438;1
 25.35800; 3.65000;       0.17222; 98.07664;80.00000;20.00000;0.80438;1
 25.35800; 3.70000;       0.17093; 98.06113;80.00000;20.00000;0.80438;1
 25.34700; 3.75000;       0.16992; 98.05047;80.00000;20.00000;0.80438;1
 25.33900; 3.80000;       0.16790; 98.03302;80.00000;20.00000;0.80439;1
 25.34400; 3.85000;       0.16670; 98.01654;80.00000;20.00000;0.80438;1
 25.34400; 3.90000;       0.16477; 97.98552;80.00000;20.00000;0.80438;1
 25.34400; 3.95000;       0.16431; 97.97582;80.00000;20.00000;0.80438;1
 25.34600; 4.00000;       0.16293; 97.96128;80.00000;20.00000;0.80438;1
 25.34200; 4.05000;       0.16155; 97.94092;80.00000;20.00000;0.80438;1
 25.32800; 4.10000;       0.16045; 97.92735;80.00000;20.00000;0.80439;1
 25.32700; 4.15000;       0.15907; 97.91475;80.00000;20.00000;0.80439;1
 25.32200; 4.20000;       0.15705; 97.89342;80.00000;20.00000;0.80439;1
 25.31700; 4.25000;       0.15659; 97.88082;80.00000;20.00000;0.80439;1
 25.31600; 4.30000;       0.15493; 97.86531;80.00000;20.00000;0.80439;1
 25.31500; 4.35000;       0.15337; 97.84689;80.00000;20.00000;0.80439;1
 25.31300; 4.40000;       0.15300; 97.82556;80.00000;20.00000;0.80439;1
 25.29600; 4.45000;       0.15024; 97.81005;80.00000;20.00000;0.80439;1
 25.29000; 4.50000;       0.14978; 97.79648;80.00000;20.00000;0.80439;1
 25.29900; 4.55000;       0.14794; 97.77612;80.00000;20.00000;0.80439;1
 25.30200; 4.60000;       0.14656; 97.75867;80.00000;20.00000;0.80439;1
 25.28800; 4.65000;       0.14592; 97.74413;80.00000;20.00000;0.80439;1
 25.26900; 4.70000;       0.14491; 97.73346;80.00000;20.00000;0.80440;1
 25.28500; 4.75000;       0.14353; 97.72765;80.00000;20.00000;0.80440;1
 25.27200; 4.80000;       0.14215; 97.71698;80.00000;20.00000;0.80440;1
 25.25100; 4.85000;       0.14123; 97.70923;80.00000;20.00000;0.80440;1
 25.25900; 4.90000;       0.14022; 97.69469;80.00000;20.00000;0.80440;1
 25.24500; 4.95000;       0.13911; 97.68111;80.00000;20.00000;0.80440;1
 25.24400; 5.00000;       0.13810; 97.66657;80.00000;20.00000;0.80440;1
 25.24700; 5.05000;       0.13617; 97.64331;80.00000;20.00000;0.80440;1
 25.23700; 5.10000;       0.13516; 97.63264;80.00000;20.00000;0.80440;1
 25.23900; 5.15000;       0.13452; 97.62198;80.00000;20.00000;0.80440;1
 25.22300; 5.20000;       0.13387; 97.61228;80.00000;20.00000;0.80441;1
 25.22300; 5.25000;       0.13277; 97.60356;80.00000;20.00000;0.80441;1
 25.23700; 5.30000;       0.13213; 97.58514;80.00000;20.00000;0.80440;1
 25.21300; 5.35000;       0.13121; 97.57254;80.00000;20.00000;0.80441;1
