#EXPORTTYPE:DATA ALL
#FILE:25wt05hr2.ngb-ds3
#FORMAT:NETZSCH5
#FTYPE:ANSI
#IDENTITY:25wt05hr2
#DECIMAL:POINT
#SEPARATOR:SEMICOLON
#MTYPE:DSC
#INSTRUMENT:NETZSCH STA 449F3
#PROJECT:copyrolysis
#DATE/TIME:20.03.2021 03:50
#CORR. FILE:correction 5kmin.ngb-bs3
#TEMPCAL:2021 CAL T 5KMIN .ngb-ts3
#SENSITIVITY:2021 CAL s 5KMIN REVISAR.ngb-ts3.ngb-es3
#LABORATORY:UNA - FCQ - AI
#OPERATOR:AD
#REMARK:
#SAMPLE:25wt05hr2
#SAMPLE MASS /mg:10.4802
#MATERIAL:EMPTY
#REFERENCE:Empty
#REFERENCE MASS /mg:0
#TYPE OF CRUCIBLE:DSC/TG pan Al2O3
#SAMPLE CRUCIBLE MASS /mg:140.3380
#REFERENCE CRUCIBLE MASS /mg:140.87
#DSC RANGE /µV:5000
#TG RANGE /mg:35000
#TAU-R:---
#CORR. CODE:020
#EXO:-1
#RANGE:25°C/00:00/25°C/5,0(K/min)/800°C/
#SEGMENT:S1-2/2
#SEG. 1:25°C/00:30/25°C
#SEG. 2:25°C/5,0(K/min)/800°C

##Temp./°C;Time/min;DSC/(mW/mg);Mass/%;Gas Flow(purge2)/(ml/min);Gas Flow(protective)/(ml/min);Sensit./(uV/mW);Segment
 24.41500;  0.00000;       0.23023;100.00000;80.00000;20.00000;0.92298;1
 24.45600;  0.05000;       0.23379; 99.96374;80.00000;20.00000;0.92295;1
 24.47800;  0.10000;       0.24002; 99.92462;80.00000;20.00000;0.92293;1
 24.50200;  0.15000;       0.24444; 99.89599;80.00000;20.00000;0.92292;1
 24.53000;  0.20000;       0.24768; 99.86069;80.00000;20.00000;0.92290;1
 24.53800;  0.25000;       0.25060; 99.82443;80.00000;20.00000;0.92289;1
 24.58800;  0.30000;       0.25385; 99.79199;80.00000;20.00000;0.92285;1
 24.60600;  0.35000;       0.25622; 99.74714;80.00000;20.00000;0.92284;1
 24.62300;  0.40000;       0.25780; 99.71470;80.00000;20.00000;0.92283;1
 24.63500;  0.45000;       0.25938; 99.68130;80.00000;20.00000;0.92282;1
 24.66700;  0.50000;       0.26152; 99.64886;80.00000;20.00000;0.92280;1
 24.70200;  0.55000;       0.26105; 99.62596;80.00000;20.00000;0.92277;1
 24.70100;  0.60000;       0.26152; 99.59829;80.00000;20.00000;0.92277;1
 24.72400;  0.65000;       0.26137; 99.56394;80.00000;20.00000;0.92275;1
 24.73900;  0.70000;       0.26137; 99.53722;80.00000;20.00000;0.92274;1
 24.75400;  0.75000;       0.26019; 99.50383;80.00000;20.00000;0.92273;1
 24.78600;  0.80000;       0.25902; 99.47425;80.00000;20.00000;0.92271;1
 24.79700;  0.85000;       0.25752; 99.44276;80.00000;20.00000;0.92270;1
 24.80800;  0.90000;       0.25689; 99.41222;80.00000;20.00000;0.92269;1
 24.83200;  0.95000;       0.25516; 99.38169;80.00000;20.00000;0.92268;1
 24.84200;  1.00000;       0.25414; 99.33684;80.00000;20.00000;0.92267;1
 24.85700;  1.05000;       0.25209; 99.30727;80.00000;20.00000;0.92266;1
 24.87000;  1.10000;       0.25067; 99.28150;80.00000;20.00000;0.92265;1
 24.89500;  1.15000;       0.24870; 99.23666;80.00000;20.00000;0.92263;1
 24.89500;  1.20000;       0.24665; 99.22043;80.00000;20.00000;0.92263;1
 24.90500;  1.25000;       0.24484; 99.18990;80.00000;20.00000;0.92262;1
 24.93500;  1.30000;       0.24279; 99.16986;80.00000;20.00000;0.92260;1
 24.94100;  1.35000;       0.24121; 99.12883;80.00000;20.00000;0.92260;1
 24.95200;  1.40000;       0.23924; 99.09925;80.00000;20.00000;0.92259;1
 24.95500;  1.45000;       0.23759; 99.06586;80.00000;20.00000;0.92259;1
 24.97700;  1.50000;       0.23499; 99.03246;80.00000;20.00000;0.92257;1
 24.96100;  1.55000;       0.23309; 99.01052;80.00000;20.00000;0.92258;1
 24.96900;  1.60000;       0.23151; 98.97807;80.00000;20.00000;0.92258;1
 24.97600;  1.65000;       0.22954; 98.95040;80.00000;20.00000;0.92257;1
 24.99100;  1.70000;       0.22765; 98.92464;80.00000;20.00000;0.92256;1
