#EXPORTTYPE:DATA ALL
#FILE:75wt10hr.ngb-ds3
#FORMAT:NETZSCH5
#FTYPE:ANSI
#IDENTITY:75wt10hr
#DECIMAL:POINT
#SEPARATOR:SEMICOLON
#MTYPE:DSC
#INSTRUMENT:NETZSCH STA 449F3
#PROJECT:copyrolysis
#DATE/TIME:18.03.2021 01:20
#CORR. FILE:correction 10kmin.ngb-bs3
#TEMPCAL:2021 CAL T 10KMIN .ngb-ts3
#SENSITIVITY:2021 CAL s 10KMIN REVISAR.ngb-ts3.ngb-es3
#LABORATORY:UNA - FCQ - AI
#OPERATOR:AD
#REMARK:
#SAMPLE:75wt10hr
#SAMPLE MASS /mg:10.7570
#MATERIAL:EMPTY
#REFERENCE:Empty
#REFERENCE MASS /mg:0
#TYPE OF CRUCIBLE:DSC/TG pan Al2O3
#SAMPLE CRUCIBLE MASS /mg:139.1830
#REFERENCE CRUCIBLE MASS /mg:140.87
#DSC RANGE /µV:5000
#TG RANGE /mg:35000
#TAU-R:---
#CORR. CODE:020
#EXO:-1
#RANGE:25°C/00:00/25°C/10,0(K/min)/800°C/
#SEGMENT:S1-2/2
#SEG. 1:25°C/00:30/25°C
#SEG. 2:25°C/10,0(K/min)/800°C

##Temp./°C;Time/min;DSC/(mW/mg);Mass/%;Gas Flow(purge2)/(ml/min);Gas Flow(protective)/(ml/min);Sensit./(uV/mW);Segment
 24.69300;  0.00000;       0.20243;100.00000;80.00000;20.00000;0.83389;1
 24.70700;  0.05000;       0.20864; 99.95817;80.00000;20.00000;0.83389;1
 24.71300;  0.10000;       0.21442; 99.93679;80.00000;20.00000;0.83389;1
 24.75500;  0.15000;       0.21825; 99.90239;80.00000;20.00000;0.83388;1
 24.77000;  0.20000;       0.22344; 99.87450;80.00000;20.00000;0.83387;1
 24.79900;  0.25000;       0.22752; 99.84940;80.00000;20.00000;0.83386;1
 24.80800;  0.30000;       0.23127; 99.81779;80.00000;20.00000;0.83386;1
 24.82700;  0.35000;       0.23306; 99.79362;80.00000;20.00000;0.83385;1
 24.84500;  0.40000;       0.23467; 99.76016;80.00000;20.00000;0.83385;1
 24.86000;  0.45000;       0.23689; 99.73692;80.00000;20.00000;0.83384;1
 24.85700;  0.50000;       0.23774; 99.70624;80.00000;20.00000;0.83384;1
 24.87400;  0.55000;       0.23825; 99.68207;80.00000;20.00000;0.83384;1
 24.91500;  0.60000;       0.23817; 99.65232;80.00000;20.00000;0.83383;1
 24.89600;  0.65000;       0.23714; 99.63466;80.00000;20.00000;0.83383;1
 24.91800;  0.70000;       0.23706; 99.61328;80.00000;20.00000;0.83383;1
 24.93100;  0.75000;       0.23562; 99.58260;80.00000;20.00000;0.83382;1
 24.93800;  0.80000;       0.23451; 99.57051;80.00000;20.00000;0.83382;1
 24.95300;  0.85000;       0.23273; 99.53705;80.00000;20.00000;0.83381;1
 24.95800;  0.90000;       0.23128; 99.50451;80.00000;20.00000;0.83381;1
 24.96300;  0.95000;       0.23026; 99.48499;80.00000;20.00000;0.83381;1
 24.96900;  1.00000;       0.22762; 99.45803;80.00000;20.00000;0.83381;1
 24.97800;  1.05000;       0.22635; 99.43200;80.00000;20.00000;0.83381;1
 24.99600;  1.10000;       0.22388; 99.40318;80.00000;20.00000;0.83380;1
 25.00400;  1.15000;       0.22167; 99.37529;80.00000;20.00000;0.83380;1
