#EXPORTTYPE:DATA ALL
#FILE:0wt10hr.ngb-ds3
#FORMAT:NETZSCH5
#FTYPE:ANSI
#IDENTITY:0wt10hr
#DECIMAL:POINT
#SEPARATOR:SEMICOLON
#MTYPE:DSC
#INSTRUMENT:NETZSCH STA 449F3
#PROJECT:copyrolysis
#DATE/TIME:18.03.2021 13:55
#CORR. FILE:correction 10kmin.ngb-bs3
#TEMPCAL:2021 CAL T 10KMIN .ngb-ts3
#SENSITIVITY:2021 CAL s 10KMIN REVISAR.ngb-ts3.ngb-es3
#LABORATORY:UNA - FCQ - AI
#OPERATOR:AD
#REMARK:
#SAMPLE:0wt10hr
#SAMPLE MASS /mg:10.4280
#MATERIAL:EMPTY
#REFERENCE:Empty
#REFERENCE MASS /mg:0
#TYPE OF CRUCIBLE:DSC/TG pan Al2O3
#SAMPLE CRUCIBLE MASS /mg:139.0665
#REFERENCE CRUCIBLE MASS /mg:140.87
#DSC RANGE /µV:5000
#TG RANGE /mg:35000
#TAU-R:---
#CORR. CODE:020
#EXO:-1
#RANGE:25°C/10,0(K/min)/800°C
#SEGMENT:S2/2
#SEG. 2:25°C/10,0(K/min)/800°C

##Temp./°C;Time/min;DSC/(mW/mg);Mass/%;Gas Flow(purge2)/(ml/min);Gas Flow(protective)/(ml/min);Sensit./(uV/mW)
 24.98900; 30.00750; 3.018448e-002;94.04200;80.00000;20.00000;0.83380
 24.97200; 30.01750; 3.018448e-002;94.04200;80.00000;20.00000;0.83380
 24.98600; 30.02750; 3.018448e-002;94.04200;80.00000;20.00000;0.83380
 24.97500; 30.03750; 3.018448e-002;94.04200;80.00000;20.00000;0.83380
 24.97100; 30.04750; 3.018448e-002;94.04200;80.00000;20.00000;0.83380
 24.98000; 30.05750; 3.018448e-002;94.04200;80.00000;20.00000;0.83380
 24.97800; 30.06750; 3.018448e-002;94.04200;80.00000;20.00000;0.83380
 24.98900; 30.07750; 3.018448e-002;94.04200;80.00000;20.00000;0.83380
 24.98400; 30.08750; 3.018448e-002;94.04200;80.00000;20.00000;0.83380
 24.97500; 30.09750; 3.018448e-002;94.04200;80.00000;20.00000;0.83380
 24.98600; 30.10750; 3.018448e-002;94.04200;80.00000;20.00000;0.83380
 24.99500; 30.11750; 2.895610e-002;94.03337;80.00000;20.00000;0.83380
 24.98600; 30.12750; 3.018448e-002;94.04200;80.00000;20.00000;0.83380
 24.98000; 30.13750; 3.018448e-002;94.04200;80.00000;20.00000;0.83380
 24.98600; 30.14750; 3.018448e-002;94.04200;80.00000;20.00000;0.83380
 24.98400; 30.15750; 3.018448e-002;94.04200;80.00000;20.00000;0.83380
